Variable Name,Units,Definition,Type,Comments,Possible Scenario Grouping
AHC.actual_fs_consn,million-ton/yr,Calculates total feedstock consumption,Array | Internal Calculation,"Feedstock in AHC module is generated within the module.  For other conversion modules, this is a module interface",
AHC.Actual_Output_gpy,gallons per year,Applies current utilization factors to output capacity in order to calculate total annual output (by array dimensionality),Array | Internal Calculation | Sector Interface,,
AHC.Annual_Loan_Payment,US dollars per year,Calculates annual loan payment associated with investment in &quot;next&quot; facility,Array | Internal Calculation | Sector Interface,,
AHC.Attr,Unitless,calculates attractiveness of investment in &quot;next&quot; facility for those conversion pathways that are set to be active,Array | Internal Calculation,This is a component of a logit choice formulation.  Regionality is neutralized in this module,
AHC.Avg_FS_throughput,ton per day,"Calculates average feedstock throughput at full utilization for facilities that are currently on line, accounting for current industry maturity",Array | Internal Calculation,,
AHC.Avg_FS_Thruput_Cap,ton per day,"Calculates average potential feedstock throughput at full utilization and full commercial maturity, for facilities that are currently on line.",Array | Internal Calculation,,
AHC.Avg_FS_Thruput_Cap_Pipeline,ton per day,"Tracks average potential feedstock throughput at full utilization and full maturity, for facilities that are currently in design and construction",Array | Internal Calculation,,
AHC.Avg_FS_Thruput_Pipeline_C,ton per day,"Calculates average feedstock throughput at full utilization for facilities that are currently in design and constructon, accounting for current industry maturity",Array | Internal Calculation,,
AHC.Avg_ORNOVOC,US dollars per year,"Calculates average operating revenue net of variable operating cost (ORNOVOC), for facilities that are currently on line.",Array | Internal Calculation,,
AHC.Avg_ORNOVOC_D_and_C_C,US dollars per year,"Calculates average operating revenue net of variable operating cost (ORNOVOC), for facilities that are currently in design and construction",Array | Internal Calculation,,
AHC.Avg_Plant_Output_gal_day,GPD,Calculates (per plant)  average output in gallons per day (GPD) under full utilization for facilities that are currently on line,Array | Internal Calculation,,
AHC.Avg_Plant_Output_gal_yr,gallons per year,Calculates (per plant)  average output in gallons per year under full utilization for facilities that are currently on line,Array | Internal Calculation,Accounts for number of days per year facilities are expected to be on line under full utilization,
AHC.Avg_Plant_Output_gpd_pipeline_C,GPD,Calculates (per plant)  average output in gallons per day (GPD) under full utilization for facilities that are currently in design and construction,Array | Internal Calculation,,
AHC.Avg_PY,gal per ton,Tracks the average process yield of facilities that are on line.,Array | Internal Calculation | Sector Interface | Module Interface,,
AHC.Avg_PY_Pipeline,gal per ton,Tracks the average process yield of facilities that are on in design and construction,Array | Internal Calculation | Sector Interface,,
AHC.Background_Subs,Unitless,"Sets subsidy amounts for price (in USD/gal), feedstock (USD/ton), FCI (fraction of FCI), and loan guarantee (fraction of loan that has associated guarantee).  Actual subsidy controlled by policy switch, policy start and stop",Array | Scenario Input,,Conversion Policy
AHC.Commercial_Maturity,Unitless,Level of commercial maturity (on 0-1 scale),Array | Internal Calculation | Sector Interface,,
AHC.commercial_maturity_gap,Unitless,Calculates difference between current level of commercial maturity and maturity for fully mature industry (1.0),Array | Internal Calculation,,
AHC.Completed_PC_Scale_Ops,Projects,Accumulates number of pre commercial (PC) scale projects that have come to completion,Array | Internal Calculation,,
AHC.Completed_Pilot_Scale_Ops,Projects,Accumulates number of pilot scale projects that have come to completion,Array | Internal Calculation,,
AHC.completing_D_and_C,projects per year,Conveyor outflow that captures completion of design/construction phase of  commercial scale projects,Array | Internal Calculation,Flow is discretized because inflows to conveyor have been discretized,
AHC.completing_PC_development,projects per year,Conveyor outflow that captures completion of development for pre commercial (PC) projects,Array | Internal Calculation,,
AHC.completing_PC_scale_ops,projects per year,Conveyor outflow that captures completion of operation for pre commercial (PC) projects,Array | Internal Calculation,,
AHC.completing_Pilot_development,projects per year,Conveyor outflow that captures completion of development for pilot projects,Array | Internal Calculation,,
AHC.completing_Pilot_scale_ops,projects per year,Conveyor outflow that captures completion of operation for pilot projects,Array | Internal Calculation,,
AHC.Contracted_Output_Capacity,gallons per year,"Defines scenario over time for gallons per yer of output that is guaranteed by contract to be purchased (and hence, is not subject to market-based economic considerations)",Array | Scenario Input,,
AHC.contracted_utilization,Unitless,Assumed value for utilization factor for capacity that is producing output that is guaranteed by contract to be purchased,scalar | Constant | Scenario Input,,
AHC.Converter_1,USD per gallon,module interface to OI.lcfs credit w transport Algae,array | module interface,,
AHC.Cost_to_Price_Ratio,Unitless,Calculates variable cost (feedstock minus other revenues net of variable operating cost) per gallon of output relative to expected price after any subsidy. Used as an input to facility utilization.,Array | Internal Calculation,,
AHC.Cume_FCI_Subs,US Dollars,Accumulates Fixed Capital Investment (FCI) subsidies by conversion pathway over course of simulation,Array | Internal Calculation,,
AHC.Cume_FS_Subs,US Dollars,Accumulates Feedstock (FS) subsidies by conversion pathway over course of simulation,Array | Internal Calculation,,
AHC.Cume_Interest_Payment,US Dollars,Calculates cumulative interest payment associated with investment in &quot;next&quot; facility,Array | Internal Calculation,,
AHC.Cume_Loan_Guarantee_Exposure,US Dollars,"Accumulates cumulative exposure to guarantor of loan guarantee, over course of simulation",Array | Internal Calculation,,
AHC.Cume_Loan_Payment,US Dollars,Calculates cumulative total loan payment (interest + principal) associated with investment in &quot;next&quot; facility,Array | Internal Calculation,,
AHC.Cume_Prodn_Subs,US Dollars,Accumulates production-related subsidies by conversion pathway over course of simulation,Array | Internal Calculation,,
AHC.Cumulative_Industry_Output,billions-gal,Accumulates production by conversion pathway over course of simulation,Array | Internal Calculation | Sector Interface,Unit check fails due to presence of exponentiation operation.,
AHC.Cumulative_Module_Output,billions-gal,"sums cumulative production across conversion pathways, over course of simulation",scalar| Sector Interface,,
AHC.Cumulative_PC_Experience,hour,Accumulates hours of pre commercial (PC) operations over the course of the simulation,Array | Internal Calculation,Unit check fails due to presence of exponentiation operation.,
AHC.Cumulative_Pilot_Experience,hour,Accumulates hours of pilot operations over the course of the simulation,Array | Internal Calculation,Unit check fails due to presence of exponentiation operation.,
AHC.Days_per_Year_Online,DaysPerYr,Expected number of days per year that facilities can be expected to be on line at full utilization,scalar | Techno-economic Input,,
AHC.debt_interest_rate_as_frac,per year,Expresses Interest rate for capital debt as a fraction,scalar | Internal Calculation,,
AHC.Debt_Interest_Rate_as_Pct,percent/yr,Assumed Interest rate for capital debt,scalar | constant | scenario Input,,
AHC.Demo_Multipliers,Unitless,"Translates pre commercial-scale maturity into a set of multipliers that characterize the &quot;current&quot; state of technology from the perspective of piloting AND demoing. Captured as weighted average, with weighting factor dynamically determined by indices of demo maturity. After winding through multiple learning curves, resultant multiplier is applied to mature industry values to define attributes of each technology.",Array | Internal Calculation,,
AHC.Demo_Multipliers_FS,Unitless,"Translates pre commercial-scale maturity into a multiplier that characterizes the &quot;current&quot; state of feedstock production cost from the perspective of piloting AND demoing. Captured as weighted average, with weighting factor dynamically determined by indices of demo maturity. After winding through multiple learning curves, resultant multiplier is applied to mature industry values to define attributes of each technology.",Array | Internal Calculation,,
AHC.depreciation_period,years,Depreciation period for capital equipment,scalar | constant | Techno-economic Input,,
AHC.Des_C_to_EtOH_yrly_starts,Projects per Year,module interface to RA.Des A to RR yrly starts,array | module interface,,
AHC.discount_factor,years,"Calculates discount factor for doing NPV calculation for total commercial project length, incl. design, construction, startup, project lifetime.",Array | Internal Calculation,"Standard financial calculation for annuity.  See, for example, Present Value entry in wikipedia",
